id,name,site,available,ideo_Pew,cred_Pew,fake_label_Grinberg
1,ABC News,abcnews.go.com,1,0,1,
2,CBS News,cbsnews.com,1,0,1,
3,NBC News,nbcnews.com,1,0,1,
4,NPR,npr.org,1,1,1,
5,Washington Post,washingtonpost.com,1,1,1,
6,New York Times,nytimes.com,1,1,1,
7,Huffington Post,huffpost.com,1,1,-1,
8,Breitbart,breitbart.com,1,-1,-1,
9,The Blaze,theblaze.com,1,-1,1,
10,Daily Kos,dailykos.com,1,1,-1,
11,ThinkProgress.org,thinkprogress.org,1,1,0,
12,The Guardian,theguardian.com,1,1,1,
13,BBC,bbc.com,1,1,1,
14,The New Yorker,newyorker.com,1,1,1,
15,One America News Network,oann.com,,,,
16,Fox News,foxnews.com,1,-1,0,
17,MSNBC,msnbc.com,1,1,1,
18,CNN,cnn.com,1,1,1,
19,PBS,pbs.org,1,1,1,
20,Wall Street Journal,wsj.com,1,0,1,
21,USA Today,usatoday.com,1,0,1,
22,Slate,slate.com,1,1,0,
23,Politico,politico.com,1,1,1,
24,Mother Jones,motherjones.com,1,1,0,
25,Bloomberg,bloomberg.com,1,0,1,
26,BuzzFeed,buzzfeed.com,1,1,-1,
27,Al Jazeera America,aljazeera.com,1,1,-1,
28,The Economist,economist.com,1,1,1,
29,Time,time.com,1,1,1,
30,Univision,univision.com,1,0,1,
31,Vice,vice.com,1,1,-1,
32,Daily Caller,dailycaller.com,1,-1,-1,
33,Newsweek,newsweek.com,1,1,1,
34,Business Insider,businessinsider.com,1,1,1,
35,Vox,vox.com,1,1,-1,
36,The Hill,thehill.com,1,1,1,
37,Washington Examiner,washingtonexaminer.com,1,-1,-1,
38,New York Post,nypost.com,1,0,-1,
39,reuters,reuters.com,1,0,1,
40,ap,apnews.com,1,0,1,
41,market watch,marketwatch.com,1,0,1,
43,the daily wire,dailywire.com,1,-1,0,
44,CDC,cdc.gov,1,0,1,
45,World Health Organization,who.int,1,0,1,
46,Dailymail,dailymail.co.uk,1,-1,-1,
47,Independent,independent.co.uk,1,1,0,
48,100% Fed Up,100percentfedup.com,1,,,Red
49,LouderwithCrowder,louderwithcrowder.com,1,,,Red
50,Activist Post,activistpost.com,1,,,Red
51,myfreshnews.com,myfreshnews.com,0,,,Red
52,allenbwest.com ,allenbwest.com,0,,,Red
53,Natural news,naturalnews.com,1,,,Red
54,allenwestrepublic.com ,greatamericanrepublic.com,2,,,Red
55,News Rescue,newsrescue.com,1,,,Red
56,americannews.com ,americannews.com,0,,,Red
57,Now the End Begins,nowtheendbegins.com,1,,,Red
58,americantoday.news ,americantoday.news,0,,,Red
59,nutra-lifestyle.com,nutra-lifestyle.com,0,,,Red
60,Americas Freedom ﬁghters,americasfreedomﬁghters.com,1,,,Red
61,The Observatorial,observatorial.com,1,,,Red
62,anonews.co ,anonews.co,0,,,Red
63,powderedwigsociety.com,powderedwigsociety.com,0,,,Red
64,ANONHQ.com,anonhq.com,1,,,Red
65,proudcons.com,proudcons.com,0,,,Red
66,Bare Naked Islam,barenakedislam.com,1,,,Red
67,religiousmind.com,religiousmind.com,0,,,Red
68,Bipartisan Report,bipartisanreport.com,1,,,Red
69,Right Side News,rightsidenews.com,1,,,Red
70,Channel-7-news.com ,channel-7-news.com,0,,,Red
71,shariaunveiled.wordpress.com,shariaunveiled.wordpress.com,0,,,Red
72,Collective Evolution,collective-evolution.com,1,,,Red
73,Source Planet,sourceplanet.net,1,,,Red
74,conservativebyte.com ,conservativebyte.com,0,,,Red
75,State of the Nation,stateofthenation.co,2,,,Red
76,conservativeﬁringline.com ,conservativeﬁringline.com,1,,,Red
77,superstation95.com,superstation95.com,1,,,Red
78,conservativeoutﬁtters.com ,conservativeoutﬁtters.com,0,,,Red
79,Tactical Investor,tacticalinvestor.com,1,,,Red
80,Conservative Post,conservativepost.com,1,,,Red
81,The Event Chronicle,theeventchronicle.com,1,,,Red
82,dailystormer.com ,dailystormer.com,0,,,Red
83,The free Patriot,thefreepatriot.org,1,,,Red
84,DC Clothesline,dcclothesline.com,1,,,Red
85,The Gate Way Pundit,thegatewaypundit.com,1,,,Red
86,downtrend.com ,downtrend.com,0,,,Red
87,The Last American Vagabond,thelastamericanvagabond.com,1,,,Red
88,eaglerising.com ,eaglerising.com,0,,,Red
89,thenewsclub.info,thenewsclub.info,0,,,Red
90,End Time Headlines,endtimeheadlines.org,1,,,Red
91,therealstrategy.com,therealstrategy.com,0,,,Red
92,European Union Times,eutimes.net,1,,,Red
93,Tru News,trunews.com,1,,,Red
94,fellowshipoftheminds.com ,fellowshipoftheminds.com,0,,,Red
95,truthfeed.com,truthfeed.com,0,,,Red
96,Front Page Mag,frontpagemag.com,1,,,Red
97,Truth Uncensored,truthuncensored.net,1,,,Red
98,fury.news ,fury.news,0,,,Red
99,USA Supreme,usasupreme.com,1,,,Red
100,Get off the BS,getoffthebs.com,1,,,Red
101,viralliberty.com,viralliberty.com,0,,,Red
102,gopthedailydose.com ,gopthedailydose.com,0,,,Red
103,We are Change,wearechange.org,1,,,Red
104,gotnews.com ,gotnews.com,0,,,Red
105,westernsentinel.com,westernsentinel.com,0,,,Red
106,Info wars ,infowars.com,1,,,Red
107,whatdoesitmean.com,whatdoesitmean.com,0,,,Red
108,jookos.com ,jookos.com,0,,,Red
109,WND,wnd.com,1,,,Red
110,Judicial Watch,judicialwatch.org,1,,,Red
111,World Truth,worldtruth.tv,1,,,Red
112,2ndvote.com ,2ndvote.com,0,,,Orange
113,Medical kidnap,medicalkidnap.com,1,,,Orange
114,afa.net ,afa.net,0,,,Orange
115,Mentor 2day,mentor2day.com,1,,,Orange
116,ahtribune.com ,ahtribune.com,0,,,Orange
117,nativeamericans.us,nativeamericans.us,0,,,Orange
118,Awareness Act,awarenessact.com,1,,,Orange
119,newcenturytimes.com,newcenturytimes.com,0,,,Orange
120,blackinsurancenews.com ,blackinsurancenews.com,0,,,Orange
121,Only Simchas,onlysimchas.com,1,,,Orange
122,Canna SOS,cannasos.com,1,,,Orange
123,Palmer Report,palmerreport.com,1,,,Orange
124,Chicks on the Right,chicksontheright.com,1,,,Orange
125,Geller Report,pamelageller.com,1,,,Orange
126,COED,coed.com,1,,,Orange
127,qpolitical.com,qpolitical.com,0,,,Orange
128,Concealed Nation,concealednation.org,1,,,Orange
129,redﬂagnews.com,redﬂagnews.com,0,,,Orange
130,Western Journal,conservativetribune.com,2,,,Orange
131,Regated,regated.com,1,,,Orange
132,Crooks and Liars,crooksandliars.com,1,,,Orange
133,Right wing News,rightwingnews.com,1,,,Orange
134,Daily Caller,dailycaller.com,1,,,Orange
135,Smag,smag31.com,1,,,Orange
136,Daily Headlines,dailyheadlines.net,1,,,Orange
137,Tea Party ,teaparty.org,1,,,Orange
138,Dailynew Sbin,dailynewsbin.com,0,,,Orange
139,Thatvira Lfeed,thatviralfeed.net,0,,,Orange
140,Daily Post,dailypost.ng,1,,,Orange
141,The Big Riddle,thebigriddle.com,1,,,Orange
142,Daily Wire,dailywire.com,1,,,Orange
143,The Last Refuge,theconservativetreehouse.com,1,,,Orange
144,David Wolfe,davidwolfe.com,1,,,Orange
145,The Federalist Papers,thefederalistpapers.org,1,,,Orange
146,defund.com ,defund.com,0,,,Orange
147,The horn news,thehornnews.com,1,,,Orange
148,DML,dennismichaellynch.com,1,,,Orange
149,The mind unleashed,themindunleashed.com,1,,,Orange
150,End of the American dream,endoftheamericandream.com,1,,,Orange
151,TNM news,thenationalmarijuananews.com,1,,,Orange
152,Express,express.co.uk,1,,,Orange
153,The national patriot,thenationalpatriot.com,1,,,Orange
154,First Post ,ﬁrstpost.com,1,,,Orange
155,The political Insider,thepoliticalinsider.com,1,,,Orange
156,Health nut news,healthnutnews.com,1,,,Orange
157,Tell me now,facebook.com/tellmenownews,2,,,Orange
158,healthycareandbeauty.com ,healthycareandbeauty.com,0,,,Orange
159,toprightnews.com,toprightnews.com,0,,,Orange
160,heatst.com tribunist.com,heatst.comtribunist.com,0,,,Orange
161,ihavethetruth.com ,ihavethetruth.com,0,,,Orange
162,True activist,trueactivist.com,1,,,Orange
163,ilovenativeamericans.us ,ilovenativeamericans.us,0,,,Orange
164,urbanimagemagazine.com,urbanimagemagazine.com,0,,,Orange
165,Multi Mag,impulsetoday.com,1,,,Orange
166,US Chronicle,uschronicle.com,1,,,Orange
167,Inquisitr,inquisitr.com,1,,,Orange
168,Usuncut,usuncut.com,1,,,Orange
169,IOTW,iotwreport.com,1,,,Orange
170,welovenative.com,welovenative.com,0,,,Orange
171,jewsnews.co.il ,jewsnews.co.il,0,,,Orange
172,youngcons.com,youngcons.com,0,,,Orange
173,Soon trending,joeforamerica.com,1,,,Orange
174,Zero hedge,zerohedge.com,1,,,Orange
175,learnprogress.org,learnprogress.org,0,,,Orange
176,12minutos.com,12minutos.com,,,,Black
177,16wmpo.com,16wmpo.com,,,,Black
178,20minutenews.com,20minutenews.com,,,,Black
179,247newsmedia.com,247newsmedia.com,,,,Black
180,24aktuelles.com,24aktuelles.com,,,,Black
181,24online.news,24online.news,,,,Black
182,24usainfo.com,24usainfo.com,,,,Black
183,24wpn.com,24wpn.com,,,,Black
184,abcnews.com.co,abcnews.com.co,,,,Black
185,actualite.co,actualite.co,,,,Black
186,actualites.co,actualites.co,,,,Black
187,adobochronicles.com,adobochronicles.com,,,,Black
188,alabamaobserver.com,alabamaobserver.com,,,,Black
189,aldipest.com,aldipest.com,,,,Black
190,alertchild.com,alertchild.com,,,,Black
191,alynews.com,alynews.com,,,,Black
192,americafans.com,americafans.com,,,,Black
193,americanflare.com,americanflare.com,,,,Black
194,americanflavor.news,americanflavor.news,,,,Black
195,americanjournalreview.com,americanjournalreview.com,,,,Black
196,americanpeoplenetwork.com,americanpeoplenetwork.com,,,,Black
197,americanpoliticnews.co,americanpoliticnews.co,,,,Black
198,americanpresident.co,americanpresident.co,,,,Black
199,americanprides.com,americanprides.com,,,,Black
200,americasnewest.com,americasnewest.com,,,,Black
201,amposts.com,amposts.com,,,,Black
202,anews-24.com,anews-24.com,,,,Black
203,anews24.org,anews24.org,,,,Black
204,angrypatriotmovement.com,angrypatriotmovement.com,,,,Black
205,anonjekloy.tk,anonjekloy.tk,,,,Black
206,areyouasleep.com,areyouasleep.com,,,,Black
207,asamericanasapplepie.org,asamericanasapplepie.org,,,,Black
208,associatedmediacoverage.com,associatedmediacoverage.com,,,,Black
209,aurora-news.us,aurora-news.us,,,,Black
210,badcriminals.com,badcriminals.com,,,,Black
211,baldwinpost.com,baldwinpost.com,,,,Black
212,baltimoregazette.com,baltimoregazette.com,,,,Black
213,battypost.com,battypost.com,,,,Black
214,bb4sp.com,bb4sp.com,,,,Black
215,beforeitsnews.com,beforeitsnews.com,,,,Black
216,belgique.actualites.co,belgique.actualites.co,,,,Black
217,bients.com,bients.com,,,,Black
218,bigbluevision.org,bigbluevision.org,,,,Black
219,bignuggetnews.com,bignuggetnews.com,,,,Black
220,bizstandardnews.com,bizstandardnews.com,,,,Black
221,bluevision.news,bluevision.news,,,,Black
222,bluevisionpost.com,bluevisionpost.com,,,,Black
223,borderherald.com,borderherald.com,,,,Black
224,bostonleader.com,bostonleader.com,,,,Black
225,breakingtop.world,breakingtop.world,,,,Black
226,burrardstreetjournal.com,burrardstreetjournal.com,,,,Black
227,butthatsnoneofmybusiness.com,butthatsnoneofmybusiness.com,,,,Black
228,buzzfeedusa.com,buzzfeedusa.com,,,,Black
229,cartelpress.com,cartelpress.com,,,,Black
230,cartelreport.com,cartelreport.com,,,,Black
231,celebtricity.com,celebtricity.com,,,,Black
232,channel16news.com,channel16news.com,,,,Black
233,channel17news.com,channel17news.com,,,,Black
234,channel18news.com,channel18news.com,,,,Black
235,channel22news.com,channel22news.com,,,,Black
236,channel23news.com,channel23news.com,,,,Black
237,channel28news.com,channel28news.com,,,,Black
238,channel34news.com,channel34news.com,,,,Black
239,channel45news.com,channel45news.com,,,,Black
240,channel5000.com,channel5000.com,,,,Black
241,choiceandtruth.com,choiceandtruth.com,,,,Black
242,christiantimesnewspaper.com,christiantimesnewspaper.com,,,,Black
243,christiantoday.info,christiantoday.info,,,,Black
244,chuckcallesto.blogspot.com,chuckcallesto.blogspot.com,,,,Black
245,civictribune.com,civictribune.com,,,,Black
246,clancyreport.com,clancyreport.com,,,,Black
247,clashdaily.com,clashdaily.com,,,,Black
248,clear-politics.com,clear-politics.com,,,,Black
249,cnn.com.de,cnn.com.de,,,,Black
250,cnnews3.com,cnnews3.com,,,,Black
251,consciouslyenlightened.com,consciouslyenlightened.com,,,,Black
252,conservativearmy88.com,conservativearmy88.com,,,,Black
253,conservativedailypost.com,conservativedailypost.com,,,,Black
254,conservativeflashnews.com,conservativeflashnews.com,,,,Black
255,conservativeinfocorner.com,conservativeinfocorner.com,,,,Black
256,conservativeinsider.co,conservativeinsider.co,,,,Black
257,conservativespirit.com,conservativespirit.com,,,,Black
258,conservativestudio.com,conservativestudio.com,,,,Black
259,consnation.com,consnation.com,,,,Black
260,cooltobeconservative.com,cooltobeconservative.com,,,,Black
261,daily-sun.com,daily-sun.com,,,,Black
262,dailycurrant.com,dailycurrant.com,,,,Black
263,dailyfinesser.com,dailyfinesser.com,,,,Black
264,dailyinfobox.com,dailyinfobox.com,,,,Black
265,dailyinsidernews.com,dailyinsidernews.com,,,,Black
266,dailynews10.com,dailynews10.com,,,,Black
267,dailynews11.com,dailynews11.com,,,,Black
268,dailynews3.com,dailynews3.com,,,,Black
269,dailynews33.com,dailynews33.com,,,,Black
270,dailynews5.com,dailynews5.com,,,,Black
271,dailynewsposts.info,dailynewsposts.info,,,,Black
272,dailyoccupation.com,dailyoccupation.com,,,,Black
273,dailypresser.com,dailypresser.com,,,,Black
274,dailysurge.com,dailysurge.com,,,,Black
275,dailyusaupdate.com,dailyusaupdate.com,,,,Black
276,damnleaks.com,damnleaks.com,,,,Black
277,democraticmoms.com,democraticmoms.com,,,,Black
278,denverguardian.com,denverguardian.com,,,,Black
279,denverinquirer.com,denverinquirer.com,,,,Black
280,departed.co,departed.co,,,,Black
281,departedmedia.com,departedmedia.com,,,,Black
282,dineal.com,dineal.com,,,,Black
283,disclose.tv,disclose.tv,,,,Black
284,diyhours.net,diyhours.net,,,,Black
285,donaldtrumpnews.co,donaldtrumpnews.co,,,,Black
286,donaldtrumppotus45.com,donaldtrumppotus45.com,,,,Black
287,drugsofficial.com,drugsofficial.com,,,,Black
288,embols.com,embols.com,,,,Black
289,empireherald.com,empireherald.com,,,,Black
290,empirenews.net,empirenews.net,,,,Black
291,empiresports.co,empiresports.co,,,,Black
292,en-volve.com,en-volve.com,,,,Black
293,en.mediamass.net,en.mediamass.net,,,,Black
294,endingthefed.com,endingthefed.com,,,,Black
295,enhlive.com,enhlive.com,,,,Black
296,everydaybreakingnews.com,everydaybreakingnews.com,,,,Black
297,everynewshere.com,everynewshere.com,,,,Black
298,famousviralstories.com,famousviralstories.com,,,,Black
299,fanzinger.com,fanzinger.com,,,,Black
300,federalistnation.com,federalistnation.com,,,,Black
301,federalisttribune.com,federalisttribune.com,,,,Black
302,fedsalert.com,fedsalert.com,,,,Black
303,flashinfo.org,flashinfo.org,,,,Black
304,flashnewscorner.com,flashnewscorner.com,,,,Black
305,floridasunpost.com,floridasunpost.com,,,,Black
306,focusnews.info,focusnews.info,,,,Black
307,folksvideo.com,folksvideo.com,,,,Black
308,fox-news24.com,fox-news24.com,,,,Black
309,france.actualites.co,france.actualites.co,,,,Black
310,freddymag.com,freddymag.com,,,,Black
311,freedomcrossroads.us,freedomcrossroads.us,,,,Black
312,freedomdaily.com,freedomdaily.com,,,,Black
313,freedomsfinalstand.com,freedomsfinalstand.com,,,,Black
314,freshdailyreport.com,freshdailyreport.com,,,,Black
315,friendsofsyria.wordpress.com,friendsofsyria.wordpress.com,,,,Black
316,givemeliberty01.com,givemeliberty01.com,,,,Black
317,globalassociatednews.com,globalassociatednews.com,,,,Black
318,globalpoliticsnow.com,globalpoliticsnow.com,,,,Black
319,greenvillegazette.com,greenvillegazette.com,,,,Black
320,guerilla.news,guerilla.news,,,,Black
321,guerillanews.com,guerillanews.com,,,,Black
322,gummypost.com,gummypost.com,,,,Black
323,halturnershow.com,halturnershow.com,,,,Black
324,headlinebrief.com,headlinebrief.com,,,,Black
325,healthyworldhouse.com,healthyworldhouse.com,,,,Black
326,heaviermetal.net,heaviermetal.net,,,,Black
327,hotglobalnews.com,hotglobalnews.com,,,,Black
328,houstonchronicle-tv.com,houstonchronicle-tv.com,,,,Black
329,huzlers.com,huzlers.com,,,,Black
330,ilovemyfreedom.org,ilovemyfreedom.org,,,,Black
331,interestingdailynews.com,interestingdailynews.com,,,,Black
332,intrendtoday.com,intrendtoday.com,,,,Black
333,ipatriot.com,ipatriot.com,,,,Black
334,isthatlegit.com,isthatlegit.com,,,,Black
335,jokerviral.com,jokerviral.com,,,,Black
336,kata33.com,kata33.com,,,,Black
337,klponews.com,klponews.com,,,,Black
338,km8news.com,km8news.com,,,,Black
339,kmt11.com,kmt11.com,,,,Black
340,knp7.com,knp7.com,,,,Black
341,konkonsagh.biz,konkonsagh.biz,,,,Black
342,krbcnews.com,krbcnews.com,,,,Black
343,kspm33.com,kspm33.com,,,,Black
344,kupr7.com,kupr7.com,,,,Black
345,ky12news.com,ky12news.com,,,,Black
346,ky6news.com,ky6news.com,,,,Black
347,kypo6.com,kypo6.com,,,,Black
348,ladylibertysnews.com,ladylibertysnews.com,,,,Black
349,landrypost.com,landrypost.com,,,,Black
350,lastdeplorables.com,lastdeplorables.com,,,,Black
351,liberalplug.com,liberalplug.com,,,,Black
352,liberty-courier.com,liberty-courier.com,,,,Black
353,libertyalliance.com,libertyalliance.com,,,,Black
354,libertywritersnews.com,libertywritersnews.com,,,,Black
355,local31news.com,local31news.com,,,,Black
356,localnews33.com,localnews33.com,,,,Black
357,londonwebnews.com,londonwebnews.com,,,,Black
358,lopezreport.com,lopezreport.com,,,,Black
359,madworldnews.com,madworldnews.com,,,,Black
360,mainerepublicemailalert.com,mainerepublicemailalert.com,,,,Black
361,majorthoughts.com,majorthoughts.com,,,,Black
362,maywoodpost.com,maywoodpost.com,,,,Black
363,mbynews.com,mbynews.com,,,,Black
364,mckenziepost.com,mckenziepost.com,,,,Black
365,mediazone.news,mediazone.news,,,,Black
366,metropolitanworlds.com,metropolitanworlds.com,,,,Black
367,mississippiherald.com,mississippiherald.com,,,,Black
368,morningnewsusa.com,morningnewsusa.com,,,,Black
369,mrnewswatch.com,mrnewswatch.com,,,,Black
370,msfanpage.link,msfanpage.link,,,,Black
371,msnbc.website,msnbc.website,,,,Black
372,nationalinsiderpolitics.com,nationalinsiderpolitics.com,,,,Black
373,nationalreport.net,nationalreport.net,,,,Black
374,nbc.com.co,nbc.com.co,,,,Black
375,ncscooper.com,ncscooper.com,,,,Black
376,neonnettle.com,neonnettle.com,,,,Black
377,nephef.com,nephef.com,,,,Black
378,nevo.news,nevo.news,,,,Black
379,newpoliticstoday.com,newpoliticstoday.com,,,,Black
380,news14kgpn.com,news14kgpn.com,,,,Black
381,news14now.com,news14now.com,,,,Black
382,news4ktla.com,news4ktla.com,,,,Black
383,newsbiscuit.com,newsbiscuit.com,,,,Black
384,newsbreakingspipe.com,newsbreakingspipe.com,,,,Black
385,newsbreakshere.com,newsbreakshere.com,,,,Black
386,newsbuzzdaily.com,newsbuzzdaily.com,,,,Black
387,newsbysquad.com,newsbysquad.com,,,,Black
388,newsdaily10.com,newsdaily10.com,,,,Black
389,newsdaily12.com,newsdaily12.com,,,,Black
390,newsdaily27.com,newsdaily27.com,,,,Black
391,newsexaminer.net,newsexaminer.net,,,,Black
392,newsfeedhunter.com,newsfeedhunter.com,,,,Black
393,newsfeedobserver.com,newsfeedobserver.com,,,,Black
394,newshubs.info,newshubs.info,,,,Black
395,newsjustforyou1.blogspot.com,newsjustforyou1.blogspot.com,,,,Black
396,newsleak.co,newsleak.co,,,,Black
397,newslo.com,newslo.com,,,,Black
398,newsnow17.com,newsnow17.com,,,,Black
399,newswatch33.com,newswatch33.com,,,,Black
400,newzmagazine.com,newzmagazine.com,,,,Black
401,notallowedto.com,notallowedto.com,,,,Black
402,noticias365.info,noticias365.info,,,,Black
403,now8news.com,now8news.com,,,,Black
404,nymeta.co,nymeta.co,,,,Black
405,occupydemocrats.com,occupydemocrats.com,,,,Black
406,onepoliticalplaza.com,onepoliticalplaza.com,,,,Black
407,openmagazines.com,openmagazines.com,,,,Black
408,oreillypost.com,oreillypost.com,,,,Black
409,ourlandofthefree.com,ourlandofthefree.com,,,,Black
410,paris.actualites.co,paris.actualites.co,,,,Black
411,patriothangout.com,patriothangout.com,,,,Black
412,persecutes.com,persecutes.com,,,,Black
413,politicops.com,politicops.com,,,,Black
414,politicot.com,politicot.com,,,,Black
415,politicsusanews.com,politicsusanews.com,,,,Black
